Book ID,Reservation Date,Checkout Date,Return Date,Member ID
3,--,10/8/2018,10/9/2018,1234
36,--,16/12/2021,14/7/2021,8487
18,--,28/10/2021,23/12/2021,8175
10,--,25/6/2019,24/9/2020,8911
3,--,27/1/2021,20/9/2021,7034
47,--,2/9/2020,28/8/2021,2867
37,21/8/2020,--,--,3229
2,18/11/2021,--,--,8878
2,9/11/2020,--,--,5893
21,--,9/10/2019,23/8/2021,1743
21,21/3/2019,--,--,2501
15,--,14/2/2019,15/5/2021,6228
40,--,23/4/2021,4/7/2021,8279
4,7/6/2021,--,--,6128
4,5/3/2021,--,--,6746
33,--,23/2/2019,1/7/2019,4145
47,--,6/12/2020,10/7/2020,2876
13,--,28/7/2021,12/9/2021,7586
27,--,10/4/2020,22/7/2021,6124
23,26/4/2021,--,--,5116
14,27/2/2020,--,--,2753
8,--,14/5/2019,23/9/2021,3152
46,--,3/3/2021,16/8/2021,2801
23,10/5/2019,--,--,3366
9,--,1/3/2020,4/9/2021,5621
10,4/4/2020,--,--,9088
21,23/10/2019,--,--,5283
35,12/2/2019,--,--,1815
3,--,27/12/2019,26/2/2019,8087
42,18/6/2020,--,--,2932
37,--,18/4/2021,3/9/2021,4005
14,--,23/7/2019,26/11/2021,1953
39,--,28/8/2021,6/9/2021,7358
20,28/4/2020,--,--,6876
1,27/11/2020,--,--,9108
48,--,2/8/2020,21/9/2021,8096
38,--,2/8/2019,19/12/2020,8527
33,9/6/2021,--,--,2716
14,--,27/5/2019,27/6/2020,4899
26,--,19/1/2019,29/3/2019,2016
23,2/8/2021,--,--,6897
41,--,14/4/2019,5/12/2021,5899
12,--,21/10/2020,2/8/2021,5935
3,--,4/6/2021,8/7/2021,3262
31,--,11/1/2021,25/11/2021,5567
20,--,6/9/2019,24/8/2020,3666
30,11/10/2020,--,--,4167
18,--,17/2/2021,1/6/2021,5439
7,--,3/10/2019,8/9/2021,1653
2,--,21/1/2020,25/1/2021,7759
15,--,4/6/2019,12/7/2020,6036
8,12/6/2019,--,--,6807
22,15/3/2020,--,--,6234
38,8/7/2020,--,--,4967
36,--,3/7/2021,25/9/2021,6757
38,--,19/2/2020,6/11/2021,8031
49,--,23/2/2020,12/8/2020,9752
26,--,9/9/2020,4/10/2021,2368
36,24/4/2019,--,--,8438
19,14/9/2019,--,--,5485
36,14/8/2019,--,--,5224
20,11/10/2020,--,--,6377
45,12/4/2019,--,--,9526
14,27/8/2021,--,--,8860
21,5/1/2021,--,--,4122
